division,year,op_start,entries_total,exits_total,op_end,pct_change,entry_rate,exit_rate,data_source
"Professional, Scientific and Technical Services",2024,335809.0,54736.0,45961.0,344584.0,2.6,16.3,13.7,ABS 8165.0 DC01 Table 1
Administrative and Support Services,2024,120770.0,25816.0,22648.0,123938.0,2.6,21.4,18.8,ABS 8165.0 DC01 Table 1
Public Administration and Safety,2024,7532.0,1436.0,1328.0,7640.0,1.4,19.1,17.6,ABS 8165.0 DC01 Table 1
Education and Training,2024,40934.0,7063.0,5932.0,42065.0,2.8,17.3,14.5,ABS 8165.0 DC01 Table 1
Health Care and Social Assistance,2024,185667.0,33984.0,19655.0,199996.0,7.7,18.3,10.6,ABS 8165.0 DC01 Table 1
Arts and Recreation Services,2024,37655.0,6658.0,5871.0,38442.0,2.1,17.7,15.6,ABS 8165.0 DC01 Table 1
Other Services,2024,127964.0,22337.0,19252.0,131049.0,2.4,17.5,15.0,ABS 8165.0 DC01 Table 1
"Agriculture, Forestry and Fishing",2025,172354.0,12392.0,13856.0,170890.0,-0.8,7.2,8.0,ABS 8165.0 DC01 Table 1
Mining,2025,8584.0,954.0,875.0,8663.0,0.9,11.1,10.2,ABS 8165.0 DC01 Table 1
Manufacturing,2025,90496.0,11168.0,11001.0,90663.0,0.2,12.3,12.2,ABS 8165.0 DC01 Table 1
"Electricity, Gas, Water and Waste Services",2025,8786.0,1265.0,1181.0,8870.0,1.0,14.4,13.4,ABS 8165.0 DC01 Table 1
Construction,2025,452937.0,76414.0,66412.0,462939.0,2.2,16.9,14.7,ABS 8165.0 DC01 Table 1
Wholesale Trade,2025,82000.0,11230.0,11133.0,82097.0,0.1,13.7,13.6,ABS 8165.0 DC01 Table 1
Retail Trade,2025,156785.0,24222.0,24838.0,156169.0,-0.4,15.4,15.8,ABS 8165.0 DC01 Table 1
Accommodation and Food Services,2025,111556.0,19577.0,18193.0,112940.0,1.2,17.5,16.3,ABS 8165.0 DC01 Table 1
"Transport, Postal and Warehousing",2025,237295.0,63895.0,51901.0,249289.0,5.1,26.9,21.9,ABS 8165.0 DC01 Table 1
Information Media and Telecommunications,2025,24883.0,4003.0,3638.0,25248.0,1.5,16.1,14.6,ABS 8165.0 DC01 Table 1
Financial and Insurance Services,2025,128962.0,21090.0,16309.0,133743.0,3.7,16.4,12.6,ABS 8165.0 DC01 Table 1
"Rental, Hiring and Real Estate Services",2025,298866.0,37486.0,28225.0,308127.0,3.1,12.5,9.4,ABS 8165.0 DC01 Table 1
"Professional, Scientific and Technical Services",2025,344584.0,55699.0,47022.0,353261.0,2.5,16.2,13.6,ABS 8165.0 DC01 Table 1
Administrative and Support Services,2025,123938.0,25336.0,22166.0,127108.0,2.6,20.4,17.9,ABS 8165.0 DC01 Table 1
Public Administration and Safety,2025,7640.0,1480.0,1340.0,7780.0,1.8,19.4,17.5,ABS 8165.0 DC01 Table 1
Education and Training,2025,42065.0,6902.0,5892.0,43075.0,2.4,16.4,14.0,ABS 8165.0 DC01 Table 1
Health Care and Social Assistance,2025,199996.0,34675.0,21494.0,213177.0,6.6,17.3,10.7,ABS 8165.0 DC01 Table 1
Arts and Recreation Services,2025,38442.0,6594.0,5726.0,39310.0,2.3,17.2,14.9,ABS 8165.0 DC01 Table 1
Other Services,2025,131049.0,22546.0,19026.0,134569.0,2.7,17.2,14.5,ABS 8165.0 DC01 Table 1
