making_year,register_id,title,type,subtype,anzsic_code,anzsic_name,bc_requirements,regdata_requirements
2006,F2006B01627,"Safety, Rehabilitation and Compensation Act 1988 - Notice of Declaration under subsection 5(6) (Notice No. 2 of 2000)",Secondary,Notice,O,Public Administration and Safety,0,0
2021,F2021L01563,ASIC (Supervisory Cost Recovery Levy—Annual Determination) Instrument 2021/0936,Secondary,Determination,K,Financial and Insurance Services,0,0
2006,F2006B10973,AD/JT8D/10 - Eighth Stage Compressor Disc P/N 496908 - Removal from Service,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2022,F2022L00860,Customs By-law No. 2200083,Secondary,Other Instrument,F,Wholesale Trade,0,0
2016,F2016L01082,Environment Protection and Biodiversity Conservation Act 1999 - Section 269A - Instrument Jointly Making the National Recovery Plan for the Plains-wanderer (05/05/2016),Secondary,Instrument,R,Arts and Recreation Services,8,11
2010,F2010L01614,Tariff Concession Order 0950006,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2020,F2020L00501,Statement of Principles concerning polyarteritis nodosa (Balance of Probabilities) (No. 34 of 2020),Secondary,Statement of Principles (RMA),Q,Health Care and Social Assistance,4,4
2018,F2018L01182,Statement of Principles concerning adrenal insufficiency (Reasonable Hypothesis) (No. 71 of 2018),Secondary,Statement of Principles (RMA),Q,Health Care and Social Assistance,4,4
2011,F2011L01068,AD/V2500/8 - High Pressure Turbine Disks,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L03261,Tariff Concession Revocation Order HS2007/565A - Tariff Concession Order 0614548,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L02501,Tariff Concession Order 0706070,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L00057,Tariff Concession Order 0615519,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2022,F2022L00540,Child Support (Assessment) (AWE amount) Determination 2022,Secondary,Determination,O,Public Administration and Safety,0,0
2011,F2011L00695,Tariff Concession Order 1050285,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B11392,AD/MU-2/62 - Landing Gear Actuating Mechanism,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2012,C2012A00128,Navigation Act 2012,Primary,Act,I,"Transport, Postal and Warehousing",184,254
2008,F2008L00293,Tariff Concession Order 0718206,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B10682,AD/HU 369/19 - Fibreglass Tail Rotor Blades - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2019,F2019L01262,Superannuation Amendment (PSS Trust Deed) Instrument 2019,Secondary,Instrument,K,Financial and Insurance Services,0,0
2007,F2007L00015,Tariff Concession Order 0615520,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B07885,Airworthiness Directives 2004 - Revocation and Remaking - General Electric Turbine Engines - CT58 Series,Secondary,Aviation - Airworthiness,D,"Electricity, Gas, Water and Waste Services",0,0
2006,F2006B09685,AD/F27/117 Amdt 1 - Engine Nacelles - Upper Brace Struts,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2010,F2010L02074,Tariff Concession Order 1009269,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L04837,Tariff Concession Order 0716025,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B06968,AD/SF340/4 Amdt 1 - Powerplant Flameouts,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",1,1
2021,F2021L00347,Financial Sector (Collection of Data) (reporting standard) determination No. 5 of 2021,Secondary,Determination,K,Financial and Insurance Services,33,33
2017,F2017L00274,Health Insurance (Professional Services Review – Sampling Methodology) Determination 2017,Secondary,Determination,Q,Health Care and Social Assistance,4,5
2006,F2006B10644,AD/HU 269/85 Amdt 2 - Tail Rotor Blade Abrasion Strip,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",5,5
2005,F2005L03314,Tariff Concession Order 0509999,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2023,F2023L01306,ASIC Corporations (Warrants: Relevant Interests and Associations) Instrument 2023/687,Secondary,Instrument,K,Financial and Insurance Services,0,0
2006,F2006B06990,AD/SF340/61 Amdt 1 - Cargo Bay Placards,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B08953,AD/DH114/41 - Front (Pilots) Seats Restraint Installations - Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2005,F2005L01307,AD/JT8D/27 Amdt 2 - First Stage Compressor Hub,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B03256,AD/B747/79 Amdt 2 - Structural Modification/Inspection Program,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B06439,AD/R22/34 - Suspect Bolts,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2019,F2019L00832,Australian Prudential Regulation Authority instrument fixing charges No. 2 of 2019,Secondary,Regulation,K,Financial and Insurance Services,1,1
2006,F2006B09286,AD/DIAMOND/2 - Fuel Pump Hose Replacement,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2005,F2005L04219,Tariff Concession Order 0512626,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2005,F2005L02419,AD/CESSNA 336/11 Amdt 3 - Wing Front and Rear Spars - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",4,4
2009,F2009B00093,Superannuation Act 1976 (Eligible Superannuation Schemes) Declaration No. 2,Secondary,Declaration,K,Financial and Insurance Services,0,0
2021,F2021L00160,Migration (Refund of Visa Application Charge) Instrument (LIN 21/007) 2021,Secondary,Instrument,K,Financial and Insurance Services,0,0
2006,F2006B07019,AD/SF340/89 - Nacelle Internal Structure,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2011,F2011L02461,Tariff Concession Order 1116076,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B06614,AD/ROBIN/17 - Safety Harness Link,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2004,C2004A01286,Military Rehabilitation and Compensation (Consequential and Transitional Provisions) Act 2004,Primary,Act,O,Public Administration and Safety,31,35
2007,F2007L02731,Tariff Concession Revocation Order HS2007/509A - Tariff Concession Order 0614515,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B02404,AD/AMD 50/8 - Cockpit Brake Pressure Lines,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2005,F2005B02944,Currency (Perth Mint) Determination 2000 (No. 7),Secondary,Determination,K,Financial and Insurance Services,0,0
2006,F2006B03638,AD/BEECH 1900/20 Amdt 1 - Airstair Door Handle and Latch Housing,Secondary,Aviation - Airworthiness Directive,L,"Rental, Hiring and Real Estate Services",1,1
2022,F2022L00174,Health Insurance (Section 3C General Medical Services – Extracorporeal Photopheresis for Chronic Graft Versus Host Disease) Determination 2022,Secondary,Determination,Q,Health Care and Social Assistance,6,7
2014,F2014L01160,CASA 203/14 - Specification — examinations for aircraft maintenance engineer licence category engines,Secondary,Aviation - CASA Instrument,N,Administrative and Support Services,4,4
2006,F2006B05514,AD/PA-23/87 - Engine Air Filter,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B07706,Airworthiness Directives 2004 - Revocation and Remaking - Airbus Industrie A319 A320 and A321 Series Aeroplanes,Secondary,Aviation - Airworthiness,I,"Transport, Postal and Warehousing",0,0
2012,F2012L00539,Tariff Concession Revocation Order 53/2012 - Tariff Concession Order 1204897,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2021,F2021L00140,Road Vehicle Standards Charges (Imposition—Customs) Regulations 2021,Secondary,Regulation,I,"Transport, Postal and Warehousing",0,0
2019,F2019L00933,Acts Interpretation Amendment Substituted Reference Order 2019,Secondary,Order,O,Public Administration and Safety,0,0
2019,F2019L01463,Marine Order 63 (Vessel reporting systems) 2019,Secondary,Order,I,"Transport, Postal and Warehousing",30,30
2018,F2018L00325,"Safety, Rehabilitation and Compensation (Licence Eligibility —DHL Express (Australia) Pty Ltd) Declaration 2018",Secondary,Declaration,O,Public Administration and Safety,0,0
2006,F2006B07996,Airworthiness Directives 2004 - Revocation and Remaking - PZL 104 (Wilga) Series Aeroplanes,Secondary,Aviation - Airworthiness,I,"Transport, Postal and Warehousing",0,0
2006,F2006L03093,Tariff Concession Order 0610571,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B02888,AD/B737/187 - Captains Pitot Heater,Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",1,1
2006,F2006B11386,AD/MU-2/56 - Underspeed Governor Minimum Stop,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B09264,AD/DHE/14 - NOT ISSUED,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B08208,AD/CESSNA 320/29 Amdt 1 - Powerplant Fire Detection System - Installation,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2024,F2024L00219,Statement of Principles concerning Osteomyelitis (Reasonable Hypothesis) (No. 23 of 2024),Secondary,Statement of Principles (RMA),Q,Health Care and Social Assistance,4,4
2018,C2018A00039,Migration (Skilling Australians Fund) Charges Act 2018,Primary,Act,K,Financial and Insurance Services,1,2
2006,F2006B07345,AD/TB20/4 - Wing Drainage - Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2010,F2010L02731,Tariff Concession Order 1023592,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L03623,Extradition (Bosnia and Herzegovina) Regulations 2009,Secondary,Regulation,O,Public Administration and Safety,0,0
2006,F2006B11187,AD/LUB/1 - Facet Scavenge Oil Filter Placards,Secondary,Aviation - Airworthiness Directive,B,Mining,0,0
2024,F2024L01119,"Defence Determination, Conditions of service Amendment Determination 2024 (No. 10)",Secondary,Determination,O,Public Administration and Safety,22,24
2008,F2008L03575,AD/BAe 146/134 - Horizontal Stabiliser Lower Skin & Joint Plates,Secondary,Aviation - Airworthiness Directive,S,Other Services,0,0
2012,F2012L00268,Tariff Concession Order 1126093,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L00365,Tariff Concession Order 0828507,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L04269,Tariff Concession Order 0912993,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008L04240,Tariff Concession Order 0825351,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B05113,AD/CESSNA 185/22 - Fuel Quantity Placard,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2023,F2023L00362,Higher Education (Maximum Amount for Special Purpose Advances) Specification 2023,Secondary,Other Instrument,P,Education and Training,0,1
2006,F2006B08871,AD/DH 104/29 - Engine Mounting Frame - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B11245,AD/M20/40 - Oil Pressure Transducer Installation - Modification,Secondary,Aviation - Airworthiness Directive,B,Mining,0,0
2011,F2011L00379,Tariff Concession Order 1047742,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B10470,AD/HS 125/30 - Oxygen System Cylinder - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2004,C2004A00576,Tradex Duty Imposition (Excise) Act 1999,Primary,Act,L,"Rental, Hiring and Real Estate Services",0,1
2006,F2006B11111,AD/LEARJET 35/31 - Emergency Brake Handle,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,0
2007,F2007L02714,Tariff Concession Order 0708066,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2005,F2005L01755,AD/BELL 222/9 Amdt 1 - Engine Chip Detector Lights,Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",0,0
2023,F2023L01243,Radiocommunications (Public Safety and Emergency Response) Class Licence 2023,Secondary,Other Instrument,J,Information Media and Telecommunications,6,23
2009,F2009L00598,Tariff Concession Order 0824440,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008B00163,Acts Interpretation (Substituted References) Order 1998,Secondary,Order,O,Public Administration and Safety,0,1
2008,F2008L02454,Tariff Concession Order 0804731,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006L00109,Tariff Concession Order 0514157,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L00655,AD/ROTAX/23 - Engine Driven Fuel Pump,Secondary,Aviation - Airworthiness Directive,O,Public Administration and Safety,0,0
2004,C2004A04236,Fisheries Administration Act 1991,Primary,Act,A,"Agriculture, Forestry and Fishing",63,78
2007,F2007L02413,Superannuation Industry (Supervision) modification declaration No. 2 of 2007,Secondary,Declaration,K,Financial and Insurance Services,3,3
2006,F2006B09801,AD/F28/67 Amdt 1 - MLG Main Fitting Subassembly,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",1,1
2006,F2006B09477,AD/EMB-110/36 Amdt 1 - Elevator Trim Tab Actuation - Dual Control Rod Installation,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B03837,AD/BEECH 35/39 - Fuel System Placards,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2010,F2010L00880,Tariff Concession Order 0931082,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008B00378,Superannuation (CSS) Approved Part-time Employee Declaration No. 5,Secondary,Declaration,K,Financial and Insurance Services,0,0
2010,C2010A00147,Family Law Amendment (Validation of Certain Parenting Orders and Other Measures) Act 2010,Primary,Act,U,Unclassified,6,6
2006,F2006B08802,AD/DC3/27 - Crew Compartment Acoustic Treatment - Restoration,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2005,F2005B00599,CASA 451/00 - Approval under subregulation 207(2),Secondary,Aviation - CASA Instrument,I,"Transport, Postal and Warehousing",0,0
2006,F2006B08034,Airworthiness Directives 2004 - Revocation and Remaking - Stephens Akro Series Aeroplanes,Secondary,Aviation - Airworthiness,I,"Transport, Postal and Warehousing",0,0
2011,F2011L00488,Tariff Concession Order 1049414,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L04584,Tariff Concession Order 0910409,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B03880,AD/BEECH 36/26 - Goodyear Fuel Cells,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2020,F2020L01617,Higher Education Support (Maximum Payments for Commonwealth Scholarships) Determination 2020,Secondary,Determination,P,Education and Training,0,1
2009,F2009L03657,AD/F27/103 Amdt 8 - Structural Limitations,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,2
2006,F2006B10774,AD/IAI-A/17 - Main Landing Gear Ground Contact Switches,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L03133,Tariff Concession Revocation Order HS2007/377A - Tariff Concession Order 0614348,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B02857,AD/B737/154 Amdt 2 - Elevator Tab,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2021,F2021L00997,Academic Integrity Rule 2021,Secondary,Other Instrument,P,Education and Training,92,108
2006,F2006B08942,AD/DH114/31 - Rudder Control Pedal Reversal Lever - Inspection,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006L03876,AD/AT 600/6 - Upper Rudder Hinge,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2007,F2007L01559,AD/BEECH 300/20 - Nose Gear Lower Shock Absorber Assembly,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",1,1
2025,F2025L01450,Offshore Petroleum and Greenhouse Gas Storage (Resource Management and Administration) Regulations 2025,Secondary,Regulation,B,Mining,426,445
2008,F2008L04234,Tariff Concession Order 0825941,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L02797,Tariff Concession Revocation Order HS2007/455A - Tariff Concession Order 0614433,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L03297,Tariff Concession Order 0908211,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L00635,Tariff Concession Order 0831549,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B09416,AD/ELECT/39 - Bendix Starting Vibrator - Inspection and Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2009,F2009L03893,Environment Protection and Biodiversity Conservation Act 1999 - section 269A - Instrument Adopting Recovery Plan (06/10/2009) (SA),Secondary,Instrument,R,Arts and Recreation Services,0,0
2005,F2005L00024,Tariff Concession Order 0410861,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2025,F2025L00679,Automatic Mutual Recognition (Victoria) (Significant Risk Exemption—Teacher and Early Childhood Teacher Registration) Declaration 2025,Secondary,Declaration,P,Education and Training,0,0
2010,F2010L02667,Tariff Concession Order 1021969,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2011,F2011L02351,Tariff Concession Order 1113893,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B06110,AD/PC-12/8 Amdt 1 - Executive Cabin Layout,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B09843,AD/F50/18 - Door Mechanism Gearbox Cover,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B03195,"AD/B747/302 - Rudder Feel, Centering & Trim Mechanism",Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2022,F2022L00738,Competition and Consumer (Industry Code – Electricity Retail) (Model Annual Usage and Total Annual Prices) Determination 2022,Secondary,Determination,G,Retail Trade,0,0
2024,F2024L01039,Statement of Principles concerning pinguecula (Reasonable Hypothesis) (No. 60 of 2024),Secondary,Statement of Principles (RMA),Q,Health Care and Social Assistance,4,4
2021,F2021L00211,Statement of Principles concerning asthma (Reasonable Hypothesis) (No. 31 of 2021),Secondary,Statement of Principles (RMA),U,Unclassified,4,4
2006,F2006L02549,Tariff Concession Order 0608152,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,F2009L00337,Tariff Concession Order 0828808,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2008,F2008L00050,Tariff Concession Order 0708937,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B09876,AD/F50/49 - Windshield Wiper Rotary Selector Switch Replacement,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006L01690,AD/DHC-8/121 - Landing Gear Alternate Release Handles,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2010,F2010L00222,Tariff Concession Order 0919226,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B04034,AD/BEECH 55/88 - Rudder Bellcrank Interconnect Tube,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2020,F2020L00411,Federal Financial Relations (GST Revenue Sharing Relativities for 2020 21) Determination 2020,Secondary,Determination,K,Financial and Insurance Services,0,0
2005,F2005L03912,AD/BELL 206/160 Amdt 1 - High Forward and High Aft Crosstubes,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2011,F2011L02330,Tariff Concession Order 1114827,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2020,F2020L00234,Auditing Standard ASA 315 Identifying and Assessing the Risks of Material Misstatement,Secondary,Standard,I,"Transport, Postal and Warehousing",93,121
2024,F2024L01185,Federal Financial Relations (General Purpose Financial Assistance—2024-25 Payment No. 3) Determination 2024,Secondary,Determination,K,Financial and Insurance Services,0,0
2018,F2018L00205,Statement of Principles concerning personality disorder (Reasonable Hypothesis) (No. 17 of 2018),Secondary,Statement of Principles (RMA),Q,Health Care and Social Assistance,4,4
2006,F2006B07281,AD/TB10/14 Amdt 1 - Front Seat Safety Belts,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2025,F2025L01095,A New Tax System (Goods and Services Tax) (Extension of Time to Issue an Adjustment Note – Electricity Distributors and Public Utility Providers) Determination 2025,Secondary,Determination,D,"Electricity, Gas, Water and Waste Services",4,4
2010,F2010L01213,Tariff Concession Order 0941603,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B07958,Airworthiness Directives 2004 - Revocation and Remaking - Piper PA-31 Series Aeroplanes,Secondary,Aviation - Airworthiness,I,"Transport, Postal and Warehousing",0,0
2008,F2008L03820,Tariff Concession Order 0812468,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2017,F2017L00759,Military Rehabilitation and Compensation (Accelerated Access to Rehabilitation) Determination 2017,Secondary,Determination,O,Public Administration and Safety,0,1
2007,F2007L04446,Tariff Concession Order 0700390,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B06896,AD/SD3-60/5 Amdt 1 - Fuselage Frame 475 - Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2005,F2005B00966,Licence Area Plan - Albany (Radio) - October 1996,Secondary,Licence Area Plan,J,Information Media and Telecommunications,1,1
2007,F2007L00733,Tariff Concession Order 0619743,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B11283,AD/ML-M4/14 Amdt 1 - Rudder Bar - Inspection and Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",1,1
2006,F2006B04629,AD/BELL 407/16 - Fuel Filler Cap Electrical Bonding,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B09013,AD/DHC-1/32 Amdt 2 - Fuselage Rear Bulkhead,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2009,F2009B00183,National Measurement Act 1960 - Determination by the National Standards Commission - Recognized-Value Standard of Measurement of Velocity - Electromagnetic Waves in a Vacuum,Secondary,Determination,U,Unclassified,1,1
2006,F2006L01105,AD/CONVAIR/2 - Elevator and Rudder Hinge Pins and Bushings,Secondary,Aviation - Airworthiness Directive,M,"Professional, Scientific and Technical Services",2,2
2006,F2006L03790,Tariff Concession Order 0613975,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L03245,Tariff Concession Revocation Order HS2007/206A - Tariff Concession Order 0614140,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2007,F2007L00335,AD/CAP 232/12 Amdt 1 - Return to Flight - Modification/Reinforcement,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,1
2011,F2011L02722,Personal Property Securities (Priority of Statutory Interests) Instrument 2011,Secondary,Instrument,K,Financial and Insurance Services,0,0
2008,F2008L00257,Tariff Concession Order 0718597,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2016,F2016L01692,Statement of Principles concerning malignant neoplasm of the brain (Reasonable Hypothesis) (No. 85 of 2016),Secondary,Statement of Principles (RMA),Q,Health Care and Social Assistance,5,5
2008,F2008L01253,AD/TFE731/35 - High Pressure Turbine Rotor Discs Curvic Couplings,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",1,1
2006,F2006B10740,AD/HU 369/76 Amdt 1 - Engine to Transmission Drive Shaft Couplings,Secondary,Aviation - Airworthiness Directive,D,"Electricity, Gas, Water and Waste Services",2,2
2007,F2007L04263,AD/PREMIER/3 - Hydraulic Pump Outlet Tubes,Secondary,Aviation - Airworthiness Directive,N,Administrative and Support Services,0,0
2009,F2009L00316,Tariff Concession Order 0830251,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2006,F2006B02651,"AD/B727/129 - Fuselage Circumferential Joint Doubler BS259, 360, 441, 481 and 681",Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2006,F2006B04728,AD/BN-2/17 Amdt 1 - Elevator Trim Jack - Inspection and Modification,Secondary,Aviation - Airworthiness Directive,I,"Transport, Postal and Warehousing",0,0
2009,F2009L00783,Tariff Concession Order 0833171,Secondary,Tariff Concession Order,F,Wholesale Trade,1,1
2009,C2009A00092,Military Justice (Interim Measures) Act (No. 2) 2009,Primary,Act,O,Public Administration and Safety,19,19
