making_year,register_id,title,type,subtype,anzsic_code,anzsic_name,bc_requirements,regdata_requirements
2004,C2004A00310,Australian Prudential Regulation Authority Act 1998,Primary,Act,K,Financial and Insurance Services,61,74
2004,C2004A00311,Authorised Deposit-taking Institutions Supervisory Levy Imposition Act 1998,Primary,Act,K,Financial and Insurance Services,1,3
2004,C2004A00312,Authorised Non-operating Holding Companies Supervisory Levy Imposition Act 1998,Primary,Act,K,Financial and Insurance Services,0,2
2004,C2004A00313,Financial Institutions Supervisory Levies Collection Act 1998,Primary,Act,K,Financial and Insurance Services,7,11
2004,C2004A00314,Financial Sector Reform (Amendments and Transitional Provisions) Act 1998,Primary,Act,K,Financial and Insurance Services,89,106
2004,C2004A00315,Financial Sector (Shareholdings) Act 1998,Primary,Act,K,Financial and Insurance Services,41,49
2004,C2004A00316,General Insurance Supervisory Levy Imposition Act 1998,Primary,Act,K,Financial and Insurance Services,1,4
2004,C2004A00317,Life Insurance Supervisory Levy Imposition Act 1998,Primary,Act,K,Financial and Insurance Services,1,3
2004,C2004A00318,Payment Systems (Regulation) Act 1998,Primary,Act,K,Financial and Insurance Services,37,54
2004,C2004A00319,Retirement Savings Account Providers Supervisory Levy Imposition Act 1998,Primary,Act,K,Financial and Insurance Services,1,3
2004,C2004A00320,Superannuation Supervisory Levy Imposition Act 1998,Primary,Act,K,Financial and Insurance Services,0,2
2004,C2004A00338,Payment Systems and Netting Act 1998,Primary,Act,K,Financial and Insurance Services,16,21
2004,C2004A00349,Comprehensive Nuclear-Test-Ban Treaty Act 1998,Primary,Act,D,"Electricity, Gas, Water and Waste Services",663,698
2004,C2004A00383,Australian Radiation Protection and Nuclear Safety Act 1998,Primary,Act,D,"Electricity, Gas, Water and Waste Services",91,104
2004,C2004A00384,Australian Radiation Protection and Nuclear Safety (Licence Charges) Act 1998,Primary,Act,D,"Electricity, Gas, Water and Waste Services",1,1
2004,C2004A00389,Anti-Personnel Mines Convention Act 1998,Primary,Act,O,Public Administration and Safety,112,128
2004,C2004A00391,Space (Launches and Returns) Act 2018,Primary,Act,D,"Electricity, Gas, Water and Waste Services",115,142
2004,C2004A00392,National Environment Protection Measures (Implementation) Act 1998,Primary,Act,R,Arts and Recreation Services,28,33
2004,C2004A00393,National Transmission Network Sale Act 1998,Primary,Act,D,"Electricity, Gas, Water and Waste Services",5,9
2004,C2004A00400,General Interest Charge (Imposition) Act 1999,Primary,Act,N,Administrative and Support Services,1,1
2004,C2004A00412,A New Tax System (Medicare Levy Surcharge—Fringe Benefits) Act 1999,Primary,Act,Q,Health Care and Social Assistance,0,1
2004,C2004A00435,Financial Sector Reform (Amendments and Transitional Provisions) Act (No. 1) 1999,Primary,Act,K,Financial and Insurance Services,144,159
2004,C2004A00436,Financial Sector (Transfer and Restructure) Act 1999,Primary,Act,K,Financial and Insurance Services,82,84
2004,C2004A00441,Telecommunications (Consumer Protection and Service Standards) Act 1999,Primary,Act,J,Information Media and Telecommunications,284,327
2004,C2004A00446,A New Tax System (Goods and Services Tax) Act 1999,Primary,Act,O,Public Administration and Safety,345,364
2004,C2004A00448,A New Tax System (Goods and Services Tax Transition) Act 1999,Primary,Act,K,Financial and Insurance Services,29,33
2004,C2004A00452,A New Tax System (Wine Equalisation Tax) Act 1999,Primary,Act,K,Financial and Insurance Services,43,47
2004,C2004A00454,A New Tax System (Wine Equalisation Tax Imposition—Customs) Act 1999,Primary,Act,O,Public Administration and Safety,0,0
2004,C2004A00455,A New Tax System (Wine Equalisation Tax Imposition—Excise) Act 1999,Primary,Act,L,"Rental, Hiring and Real Estate Services",0,0
2004,C2004A00456,A New Tax System (Wine Equalisation Tax Imposition—General) Act 1999,Primary,Act,O,Public Administration and Safety,0,0
2004,C2004A00460,A New Tax System (Goods and Services Tax Imposition—Customs) Act 1999,Primary,Act,O,Public Administration and Safety,0,0
2004,C2004A00461,A New Tax System (Goods and Services Tax Imposition—Excise) Act 1999,Primary,Act,L,"Rental, Hiring and Real Estate Services",0,0
2004,C2004A00462,A New Tax System (Goods and Services Tax Imposition—General) Act 1999,Primary,Act,L,"Rental, Hiring and Real Estate Services",0,0
2004,C2004A00463,A New Tax System (Luxury Car Tax) Act 1999,Primary,Act,X,Cross-cutting (Multiple Industries),20,23
2004,C2004A00464,A New Tax System (Luxury Car Tax Imposition—Customs) Act 1999,Primary,Act,O,Public Administration and Safety,0,0
2004,C2004A00465,A New Tax System (Luxury Car Tax Imposition—Excise) Act 1999,Primary,Act,L,"Rental, Hiring and Real Estate Services",0,0
2004,C2004A00466,A New Tax System (Luxury Car Tax Imposition—General) Act 1999,Primary,Act,L,"Rental, Hiring and Real Estate Services",0,0
2004,C2004A00467,A New Tax System (Australian Business Number) Act 1999,Primary,Act,S,Other Services,39,49
2004,C2004A00485,Environment Protection and Biodiversity Conservation Act 1999,Primary,Act,R,Arts and Recreation Services,516,658
2004,C2004A00486,Environmental Reform (Consequential Provisions) Act 1999,Primary,Act,R,Arts and Recreation Services,45,51
2004,C2004A00490,A New Tax System (Family Assistance) Act 1999,Primary,Act,O,Public Administration and Safety,121,137
2004,C2004A00491,A New Tax System (Family Assistance) (Administration) Act 1999,Primary,Act,K,Financial and Insurance Services,420,497
2004,C2004A00498,Damage by Aircraft Act 1999,Primary,Act,I,"Transport, Postal and Warehousing",5,6
2004,C2004A00502,A New Tax System (Managing the GST Rate and Base) Act 1999,Primary,Act,O,Public Administration and Safety,3,3
2004,C2004A00518,Superannuation (Unclaimed Money and Lost Members) Act 1999,Primary,Act,K,Financial and Insurance Services,223,239
2004,C2004A00519,Superannuation (Unclaimed Money and Lost Members) Consequential and Transitional Act 1999,Primary,Act,K,Financial and Insurance Services,3,3
2004,C2004A00536,Parliamentary Service Act 1999,Primary,Act,N,Administrative and Support Services,140,159
2004,C2004A00538,Public Service Act 1999,Primary,Act,O,Public Administration and Safety,93,107
2004,C2004A00553,Electronic Transactions Act 1999,Primary,Act,O,Public Administration and Safety,22,25
2004,C2004A00557,New Business Tax System (Former Subsidiary Tax Imposition) Act 1999,Primary,Act,X,Cross-cutting (Multiple Industries),0,0
2004,C2004A00564,Social Security (International Agreements) Act 1999,Primary,Act,K,Financial and Insurance Services,1328,1462
2004,C2004A00571,"Textile, Clothing and Footwear Investment and Innovation Programs Act 1999",Primary,Act,K,Financial and Insurance Services,52,65
2004,C2004A00574,Tradex Scheme Act 1999,Primary,Act,U,Unclassified,78,83
2004,C2004A00575,Tradex Duty Imposition (Customs) Act 1999,Primary,Act,O,Public Administration and Safety,0,1
2004,C2004A00576,Tradex Duty Imposition (Excise) Act 1999,Primary,Act,L,"Rental, Hiring and Real Estate Services",0,1
2004,C2004A00577,Tradex Duty Imposition (General) Act 1999,Primary,Act,O,Public Administration and Safety,0,1
2004,C2004A00580,Social Security (Administration) Act 1999,Primary,Act,K,Financial and Insurance Services,375,482
2004,C2004A00605,Crimes at Sea Act 2000,Primary,Act,I,"Transport, Postal and Warehousing",13,17
2004,C2004A00616,Financial Sector Reform (Amendments and Transitional Provisions) Act (No. 1) 2000,Primary,Act,K,Financial and Insurance Services,29,29
2004,C2004A00621,Adelaide Airport Curfew Act 2000,Primary,Act,I,"Transport, Postal and Warehousing",18,21
2004,C2004A00624,Primary Industries (Excise) Levies (GST Consequential Amendments) Act 2000,Primary,Act,O,Public Administration and Safety,0,0
2004,C2004A00637,A New Tax System (Family Assistance and Related Measures) Act 2000,Primary,Act,K,Financial and Insurance Services,301,317
2004,C2004A00653,Product Grants and Benefits Administration Act 2000,Primary,Act,K,Financial and Insurance Services,34,39
2004,C2004A00681,New Business Tax System (Alienated Personal Services Income) Tax Imposition Act (No. 1) 2000,Primary,Act,S,Other Services,0,0
2004,C2004A00682,New Business Tax System (Alienated Personal Services Income) Tax Imposition Act (No. 2) 2000,Primary,Act,S,Other Services,0,0
2004,C2004A00694,Product Stewardship (Oil) Act 2000,Primary,Act,B,Mining,8,9
2004,C2004A00707,Excise Amendment (Compliance Improvement) Act 2000,Primary,Act,F,Wholesale Trade,27,89
2004,C2004A00720,Commonwealth Electoral Legislation (Provision of Information) Act 2000,Primary,Act,O,Public Administration and Safety,0,0
2004,C2004A00722,Renewable Energy (Electricity) (Large-scale Generation Shortfall Charge) Act 2000,Primary,Act,D,"Electricity, Gas, Water and Waste Services",0,1
2004,C2004A00727,Health Insurance (Approved Pathology Specimen Collection Centres) Tax Act 2000,Primary,Act,Q,Health Care and Social Assistance,0,1
2004,C2004A00738,Wool Services Privatisation Act 2000,Primary,Act,A,"Agriculture, Forestry and Fishing",17,19
2004,C2004A00744,Fuel Quality Standards Act 2000,Primary,Act,O,Public Administration and Safety,118,147
2004,C2004A00745,Indigenous Education (Targeted Assistance) Act 2000,Primary,Act,P,Education and Training,17,20
2004,C2004A00754,Jurisdiction of Courts (Miscellaneous Amendments) Act 2000,Primary,Act,O,Public Administration and Safety,0,0
2004,C2004A00756,Horticulture Marketing and Research and Development Services (Repeals and Consequential Provisions) Act 2000,Primary,Act,E,Construction,23,28
2004,C2004A00757,Education Services for Overseas Students Act 2000,Primary,Act,P,Education and Training,278,320
2004,C2004A00759,Education Services for Overseas Students (Consequential and Transitional) Act 2000,Primary,Act,P,Education and Training,5,5
2004,C2004A00762,Gene Technology Act 2000,Primary,Act,O,Public Administration and Safety,171,236
2004,C2004A00764,Gene Technology (Licence Charges) Act 2000,Primary,Act,K,Financial and Insurance Services,1,1
2004,C2004A00767,Renewable Energy (Electricity) Act 2000,Primary,Act,D,"Electricity, Gas, Water and Waste Services",288,321
2004,C2004A00773,Australian Research Council Act 2001,Primary,Act,M,"Professional, Scientific and Technical Services",67,77
2004,C2004A00775,Defence Legislation Amendment (Enhancement of the Reserves and Modernisation) Act 2001,Primary,Act,O,Public Administration and Safety,13,13
2004,C2004A00776,Defence Reserve Service (Protection) Act 2001,Primary,Act,O,Public Administration and Safety,36,87
2004,C2004A00779,Sydney Harbour Federation Trust Act 2001,Primary,Act,O,Public Administration and Safety,74,98
2004,C2004A00795,Lake Eyre Basin Intergovernmental Agreement Act 2001,Primary,Act,B,Mining,5,5
2004,C2004A00798,Pig Industry Act 2001,Primary,Act,O,Public Administration and Safety,15,17
2004,C2004A00800,Coal Industry Repeal Act 2001,Primary,Act,B,Mining,0,1
2004,C2004A00808,Compensation (Japanese Internment) Act 2001,Primary,Act,K,Financial and Insurance Services,2,3
2004,C2004A00818,Corporations Act 2001,Primary,Act,K,Financial and Insurance Services,722,783
2004,C2004A00819,Australian Securities and Investments Commission Act 2001,Primary,Act,K,Financial and Insurance Services,148,215
2004,C2004A00820,Corporations (Fees) Act 2001,Primary,Act,X,Cross-cutting (Multiple Industries),3,7
2004,C2004A00822,Corporations (National Guarantee Fund Levies) Act 2001,Primary,Act,K,Financial and Insurance Services,2,4
2004,C2004A00823,"Corporations (Repeals, Consequentials and Transitionals) Act 2001",Primary,Act,K,Financial and Insurance Services,4,9
2004,C2004A00849,Environment Protection and Biodiversity Conservation Amendment (Wildlife Protection) Act 2001,Primary,Act,R,Arts and Recreation Services,89,135
2004,C2004A00851,Interactive Gambling Act 2001,Primary,Act,R,Arts and Recreation Services,112,213
2004,C2004A00857,Import Processing Charges Act 2001,Primary,Act,F,Wholesale Trade,0,1
2004,C2004A00871,Financial Sector (Collection of Data) Act 2001,Primary,Act,K,Financial and Insurance Services,64,75
2004,C2004A00873,Corporations (Compensation Arrangements Levies) Act 2001,Primary,Act,K,Financial and Insurance Services,1,2
2004,C2004A00896,Financial Sector (Collection of Data—Consequential and Transitional Provisions) Act 2001,Primary,Act,K,Financial and Insurance Services,7,8
2004,C2004A00928,Intelligence Services Act 2001,Primary,Act,O,Public Administration and Safety,175,218
2004,C2004A00957,Coal Industry Repeal (Validation of Proclamation) Act 2002,Primary,Act,B,Mining,0,0
2004,C2004A00965,Regional Forest Agreements Act 2002,Primary,Act,O,Public Administration and Safety,12,17
2004,C2004A00981,New Business Tax System (Over-franking Tax) Act 2002,Primary,Act,O,Public Administration and Safety,0,0
2004,C2004A00982,New Business Tax System (Franking Deficit Tax) Act 2002,Primary,Act,K,Financial and Insurance Services,0,0
2004,C2004A00992,International Criminal Court Act 2002,Primary,Act,U,Unclassified,737,843
2004,C2004A01022,Proceeds of Crime Act 2002,Primary,Act,U,Unclassified,362,443
2004,C2004A01023,Proceeds of Crime (Consequential Amendments and Transitional Provisions) Act 2002,Primary,Act,K,Financial and Insurance Services,78,92
2004,C2004A01047,Parliamentary Retirement Travel Act 2002,Primary,Act,O,Public Administration and Safety,11,13
2004,C2004A01048,Medical Indemnity Agreement (Financial Assistance—Binding Commonwealth Obligations) Act 2002,Primary,Act,Q,Health Care and Social Assistance,14,14
2004,C2004A01062,Australian Crime Commission Establishment Act 2002,Primary,Act,J,Information Media and Telecommunications,59,78
2004,C2004A01069,Medical Indemnity Act 2002,Primary,Act,Q,Health Care and Social Assistance,263,280
2004,C2004A01074,Venture Capital Act 2002,Primary,Act,K,Financial and Insurance Services,84,88
2004,C2004A01081,Prohibition of Human Cloning for Reproduction Act 2002,Primary,Act,O,Public Administration and Safety,8,23
2004,C2004A01082,Research Involving Human Embryos Act 2002,Primary,Act,M,"Professional, Scientific and Technical Services",96,116
2004,C2004A01087,Commonwealth Volunteers Protection Act 2003,Primary,Act,O,Public Administration and Safety,2,2
2004,C2004A01094,Petroleum (Timor Sea Treaty) Act 2003,Primary,Act,B,Mining,0,1
2004,C2004A01102,Transport Safety Investigation Act 2003,Primary,Act,I,"Transport, Postal and Warehousing",71,108
2004,C2004A01106,Inspector-General of Taxation Act 2003,Primary,Act,N,Administrative and Support Services,23,27
2004,C2004A01108,Corporations (Review Fees) Act 2003,Primary,Act,K,Financial and Insurance Services,0,1
2004,C2004A01114,National Blood Authority Act 2003,Primary,Act,D,"Electricity, Gas, Water and Waste Services",23,27
2004,C2004A01117,Dairy Industry Service Reform Act 2003,Primary,Act,A,"Agriculture, Forestry and Fishing",42,45
2004,C2004A01121,Medical Indemnity (Prudential Supervision and Product Standards) Act 2003,Primary,Act,Q,Health Care and Social Assistance,12,15
2004,C2004A01123,New Business Tax System (Venture Capital Deficit Tax) Act 2003,Primary,Act,E,Construction,0,0
2004,C2004A01128,Terrorism and Cyclone Insurance Act 2003,Primary,Act,K,Financial and Insurance Services,43,50
2004,C2004A01145,HIH Royal Commission (Transfer of Records) Act 2003,Primary,Act,K,Financial and Insurance Services,3,3
2004,C2004A01156,Private Health Insurance (Collapsed Insurer Levy) Act 2003,Primary,Act,Q,Health Care and Social Assistance,7,8
2004,C2004A01158,Private Health Insurance (Risk Equalisation Levy) Act 2003,Primary,Act,Q,Health Care and Social Assistance,5,8
2004,C2004A01166,National Transport Commission Act 2003,Primary,Act,I,"Transport, Postal and Warehousing",19,23
2004,C2004A01169,Australian Heritage Council Act 2003,Primary,Act,R,Arts and Recreation Services,9,19
2004,C2004A01170,Australian Heritage Council (Consequential and Transitional Provisions) Act 2003,Primary,Act,R,Arts and Recreation Services,3,3
2004,C2004A01195,Superannuation (Government Co-contribution for Low Income Earners) Act 2003,Primary,Act,O,Public Administration and Safety,46,59
2004,C2004A01202,Offshore Petroleum and Greenhouse Gas Storage (Regulatory Levies) Act 2003,Primary,Act,B,Mining,2,3
2004,C2004A01214,Spam Act 2003,Primary,Act,U,Unclassified,21,63
2004,C2004A01216,Maritime Transport and Offshore Facilities Security Act 2003,Primary,Act,I,"Transport, Postal and Warehousing",365,483
2004,C2004A01224,Legislation Act 2003,Primary,Act,O,Public Administration and Safety,113,121
2004,C2004A01232,Designs Act 2003,Primary,Act,M,"Professional, Scientific and Technical Services",145,182
2004,C2004A01234,Higher Education Support Act 2003,Primary,Act,P,Education and Training,697,808
2004,C2004A01235,Higher Education Support (Transitional Provisions and Consequential Amendments) Act 2003,Primary,Act,P,Education and Training,43,56
2004,C2004A01242,Aviation Transport Security Act 2004,Primary,Aviation - Transport Security,I,"Transport, Postal and Warehousing",152,250
2004,C2004A01243,Aviation Transport Security (Consequential Amendments and Transitional Provisions) Act 2004,Primary,Aviation - Transport Security,I,"Transport, Postal and Warehousing",1,1
2004,C2004A01260,Customs Legislation Amendment (Application of International Trade Modernisation and Other Measures) Act 2004,Primary,Act,F,Wholesale Trade,55,65
2004,C2004A01285,Military Rehabilitation and Compensation Act 2004,Primary,Act,O,Public Administration and Safety,341,408
2004,C2004A01286,Military Rehabilitation and Compensation (Consequential and Transitional Provisions) Act 2004,Primary,Act,O,Public Administration and Safety,31,35
2004,C2004A01295,Family Assistance Legislation Amendment (More Help for Families—One-off Payments) Act 2004,Primary,Act,K,Financial and Insurance Services,4,5
2004,C2004A01302,Age Discrimination Act 2004,Primary,Act,O,Public Administration and Safety,9,15
2004,C2004A01307,Tourism Australia Act 2004,Primary,Act,H,Accommodation and Food Services,41,48
2004,C2004A01308,Tourism Australia (Repeal and Transitional Provisions) Act 2004,Primary,Act,H,Accommodation and Food Services,9,10
2004,C2004A01309,Medical Indemnity (Run-off Cover Support Payment) Act 2004,Primary,Act,Q,Health Care and Social Assistance,1,2
2004,C2004A01315,Parliamentary Superannuation Act 2004,Primary,Act,K,Financial and Insurance Services,22,23
2004,C2004A01335,Australian Energy Market Act 2004,Primary,Act,D,"Electricity, Gas, Water and Waste Services",8,9
2004,C2004A01336,Veterans' Entitlements (Clarke Review) Act 2004,Primary,Act,K,Financial and Insurance Services,8,15
2004,C2004A01370,Schools Assistance (Learning Together—Achievement Through Choice and Opportunity) Act 2004,Primary,Act,K,Financial and Insurance Services,72,108
2004,C2004A01379,James Hardie (Investigations and Proceedings) Act 2004,Primary,Act,M,"Professional, Scientific and Technical Services",1,1
2004,C2004A01385,National Security Information (Criminal and Civil Proceedings) Act 2004,Primary,Act,O,Public Administration and Safety,124,152
2004,C2004A01387,Surveillance Devices Act 2004,Primary,Act,O,Public Administration and Safety,266,307
2004,C2004A01393,Fisheries (Validation of Plans of Management) Act 2004,Primary,Act,A,"Agriculture, Forestry and Fishing",0,0
2004,C2004A01395,Great Barrier Reef Marine Park Act 1975,Primary,Act,X,Cross-cutting (Multiple Industries),220,284
2004,C2004A01402,Foreign Acquisitions and Takeovers Act 1975,Primary,Act,O,Public Administration and Safety,215,271
2004,C2004A01408,Papua New Guinea Independence Act 1975,Primary,Act,O,Public Administration and Safety,1,2
2004,C2004A01409,Papua New Guinea Loans Guarantee Act 1975,Primary,Act,O,Public Administration and Safety,3,3
2004,C2004A01412,United States Naval Communication Station Agreement Act 1975,Primary,Act,O,Public Administration and Safety,3,3
2004,C2004A01437,Loan Act 1976,Primary,Act,K,Financial and Insurance Services,4,4
2004,C2004A01438,Loan Act (No. 2) 1976,Primary,Act,K,Financial and Insurance Services,2,2
2004,C2004A01462,Superannuation Act 1976,Primary,Act,K,Financial and Insurance Services,189,218
2004,C2004A01465,Defence Force Retirement and Death Benefits (Pension Increases) Act 1976,Primary,Act,O,Public Administration and Safety,32,33
2004,C2004A01500,Papua New Guinea (Staffing Assistance) Termination Act 1976,Primary,Act,N,Administrative and Support Services,14,15
2004,C2004A01518,Psychotropic Substances Act 1976,Primary,Act,U,Unclassified,186,194
2004,C2004A01521,Loan Act (No. 3) 1976,Primary,Act,K,Financial and Insurance Services,4,4
2004,C2004A01549,Christmas Island Agreement Act 1976,Primary,Act,O,Public Administration and Safety,6,6
2004,C2004A01586,Federal Court of Australia Act 1976,Primary,Act,O,Public Administration and Safety,297,357
2004,C2004A01611,Ombudsman Act 1976,Primary,Act,O,Public Administration and Safety,230,288
2004,C2004A01620,Aboriginal Land Rights (Northern Territory) Act 1976,Primary,Act,L,"Rental, Hiring and Real Estate Services",459,569
2004,C2004A01621,Long Service Leave (Commonwealth Employees) Act 1976,Primary,Act,O,Public Administration and Safety,67,76
2004,C2004A01646,Crimes (Internationally Protected Persons) Act 1976,Primary,Act,O,Public Administration and Safety,47,53
2004,C2004A01649,Crimes (Biological Weapons) Act 1976,Primary,Act,E,Construction,27,30
2004,C2004A01659,Asian Development Bank (Additional Subscription) Act 1977,Primary,Act,K,Financial and Insurance Services,27,28
2004,C2004A01660,Law Courts (Sydney) Act 1977,Primary,Act,L,"Rental, Hiring and Real Estate Services",1,1
2004,C2004A01678,Loan (War Service Land Settlement) Act 1977,Primary,Act,K,Financial and Insurance Services,2,2
2004,C2004A01697,Administrative Decisions (Judicial Review) Act 1977,Primary,Act,N,Administrative and Support Services,47,51
2004,C2004A01703,National Workplace Relations Consultative Council Act 2002,Primary,Act,J,Information Media and Telecommunications,22,23
2004,C2004A01728,International Fund for Agricultural Development Act 1977,Primary,Act,K,Financial and Insurance Services,233,239
2004,C2004A01763,Port Statistics Act 1977,Primary,Act,I,"Transport, Postal and Warehousing",11,14
2004,C2004A01773,Coal Research Assistance Act 1977,Primary,Act,M,"Professional, Scientific and Technical Services",9,10
2004,C2004A01815,Co-operative Farmers and Graziers Direct Meat Supply Limited (Loan Guarantee) Act 1978,Primary,Act,K,Financial and Insurance Services,2,4
2004,C2004A01818,Qantas Airways Limited (Loan Guarantee) Act 1978,Primary,Act,K,Financial and Insurance Services,5,7
2004,C2004A01827,Environment Protection (Alligator Rivers Region) Act 1978,Primary,Act,R,Arts and Recreation Services,57,65
2004,C2004A01829,Environment Protection (Northern Territory Supreme Court) Act 1978,Primary,Act,R,Arts and Recreation Services,2,2
2004,C2004A01837,Ordinances and Regulations (Notification) Act 1978,Primary,Act,O,Public Administration and Safety,2,3
2004,C2004A01857,Northern Territory (Self-Government) Act 1978,Primary,Act,O,Public Administration and Safety,79,87
2004,C2004A01897,Diplomatic and Consular Missions Act 1978,Primary,Act,O,Public Administration and Safety,5,8
2004,C2004A01905,Loan Act 1978,Primary,Act,K,Financial and Insurance Services,4,4
2004,C2004A01917,Passenger Movement Charge Act 1978,Primary,Act,I,"Transport, Postal and Warehousing",1,2
2004,C2004A01918,Passenger Movement Charge Collection Act 1978,Primary,Act,I,"Transport, Postal and Warehousing",11,18
2004,C2004A01959,Loans (Taxation Exemption) Act 1978,Primary,Act,O,Public Administration and Safety,3,3
2004,C2004A02012,Commonwealth Authorities (Northern Territory Pay-roll Tax) Act 1979,Primary,Act,O,Public Administration and Safety,2,2
2004,C2004A02028,Repatriation Acts Amendment Act 1979,Primary,Act,O,Public Administration and Safety,141,161
2004,C2004A02035,Norfolk Island Act 1979,Primary,Act,O,Public Administration and Safety,25,34
2004,C2004A02038,Income Tax (Mining Withholding Tax) Act 1979,Primary,Act,B,Mining,3,3
2004,C2004A02061,Qantas Airways Limited (Loan Guarantee) Act 1979,Primary,Act,K,Financial and Insurance Services,5,7
2004,C2004A02068,Australian Federal Police Act 1979,Primary,Act,O,Public Administration and Safety,169,224
2004,C2004A02099,High Court Justices (Long Leave Payments) Act 1979,Primary,Act,K,Financial and Insurance Services,2,2
2004,C2004A02100,Judges (Long Leave Payments) Act 1979,Primary,Act,O,Public Administration and Safety,2,3
2004,C2004A02107,Loan Act 1979,Primary,Act,K,Financial and Insurance Services,4,4
2004,C2004A02123,Australian Security Intelligence Organisation Act 1979,Primary,Act,S,Other Services,354,421
2004,C2004A02124,Telecommunications (Interception and Access) Act 1979,Primary,Act,J,Information Media and Telecommunications,366,438
2004,C2004A02147,High Court of Australia Act 1979,Primary,Act,N,Administrative and Support Services,64,70
2004,C2004A02206,Loan (War Service Land Settlement) Act 1980,Primary,Act,K,Financial and Insurance Services,2,2
2004,C2004A02230,Qantas Airways Limited (Loan Guarantee) Act 1980,Primary,Act,K,Financial and Insurance Services,5,7
2004,C2004A02275,Northern Territory (Commonwealth Lands) Act 1980,Primary,Act,O,Public Administration and Safety,4,4
